ticker,date,close,raw_close,high,low,open,volume
^NYA,2002-12-02,5229.66015625,5229.66015625,5229.66015625,5229.66015625,5229.66015625,1612000000.0
^NYA,2002-12-03,5164.6298828125,5164.6298828125,5164.6298828125,5164.6298828125,5164.6298828125,1488400000.0
^NYA,2002-12-04,5155.43017578125,5155.43017578125,5155.43017578125,5155.43017578125,5155.43017578125,1588900000.0
^NYA,2002-12-05,5104.7900390625,5104.7900390625,5104.7900390625,5104.7900390625,5104.7900390625,1250200000.0
^NYA,2002-12-06,5131.85009765625,5131.85009765625,5131.85009765625,5131.85009765625,5131.85009765625,1241100000.0
^NYA,2002-12-09,5040.7099609375,5040.7099609375,5040.7099609375,5040.7099609375,5040.7099609375,1320800000.0
^NYA,2002-12-10,5104.68017578125,5104.68017578125,5104.68017578125,5104.68017578125,5104.68017578125,1286600000.0
^NYA,2002-12-11,5105.2099609375,5105.2099609375,5105.2099609375,5105.2099609375,5105.2099609375,1285100000.0
^NYA,2002-12-12,5086.919921875,5086.919921875,5086.919921875,5086.919921875,5086.919921875,1255300000.0
^NYA,2002-12-13,5035.10009765625,5035.10009765625,5035.10009765625,5035.10009765625,5035.10009765625,1330800000.0
^NYA,2002-12-16,5138.08984375,5138.08984375,5138.08984375,5138.08984375,5138.08984375,1271600000.0
^NYA,2002-12-17,5094.740234375,5094.740234375,5094.740234375,5094.740234375,5094.740234375,1251800000.0
^NYA,2002-12-18,5037.9599609375,5037.9599609375,5037.9599609375,5037.9599609375,5037.9599609375,1446200000.0
^NYA,2002-12-19,5001.3701171875,5001.3701171875,5001.3701171875,5001.3701171875,5001.3701171875,1385900000.0
^NYA,2002-12-20,5067.14013671875,5067.14013671875,5067.14013671875,5067.14013671875,5067.14013671875,1782730000.0
^NYA,2002-12-23,5067.669921875,5067.669921875,5067.669921875,5067.669921875,5067.669921875,1112100000.0
^NYA,2002-12-24,5044.2998046875,5044.2998046875,5044.2998046875,5044.2998046875,5044.2998046875,458310000.0
^NYA,2002-12-26,5036.58984375,5036.58984375,5036.58984375,5036.58984375,5036.58984375,721100000.0
^NYA,2002-12-27,4958.02001953125,4958.02001953125,4958.02001953125,4958.02001953125,4958.02001953125,758400000.0
^NYA,2002-12-30,4986.14990234375,4986.14990234375,4986.14990234375,4986.14990234375,4986.14990234375,1057800000.0
^NYA,2002-12-31,5000.0,5000.0,5000.0,5000.0,5000.0,1088500000.0
^NYA,2003-01-02,5146.0,5146.0,5146.0,5146.0,5146.0,1229200000.0
^NYA,2003-01-03,5148.4501953125,5148.4501953125,5148.4501953125,5148.4501953125,5148.4501953125,1130800000.0
^NYA,2003-01-06,5255.39013671875,5255.39013671875,5255.39013671875,5255.39013671875,5255.39013671875,1398100000.0
^NYA,2003-01-07,5186.919921875,5186.919921875,5186.919921875,5186.919921875,5186.919921875,1545200000.0
